Date,USDtoEUR
2020-01-01,0.8914006578536854
2020-01-02,0.895184622876622
2020-01-03,0.8960573476702508
2020-01-04,0.8960974954075004
2020-01-05,0.8959297017718802
2020-01-06,0.8931362479346224
2020-01-07,0.8965248902205272
2020-01-08,0.8998648403009868
2020-01-09,0.9001969630955253
2020-01-10,0.8993040286122569
2020-01-11,0.8992805755395683
2020-01-12,0.8995798961884801
2020-01-13,0.8980401172481176
2020-01-14,0.8986041980990926
2020-01-15,0.8966599417171037
2020-01-16,0.8979014247899809
2020-01-17,0.90166447261645
2020-01-18,0.9016482129332419
2020-01-19,0.9013694506063061
2020-01-20,0.9011850583517325
2020-01-21,0.9021094024156685
2020-01-22,0.9012248547000228
2020-01-23,0.9045803425645756
2020-01-24,0.9070294784580498
2020-01-25,0.9069965715529594
2020-01-26,0.9070352374119383
2020-01-27,0.9074953672361503
2020-01-28,0.9072598936691405
2020-01-29,0.9078990852008817
2020-01-30,0.9067202477885093
2020-01-31,0.9012987715297744
2020-02-01,0.9013637633739849
2020-02-02,0.9017596035143375
2020-02-03,0.9039498994807712
2020-02-04,0.9053977095248744
2020-02-05,0.9090966942516907
2020-02-06,0.9107011943846164
2020-02-07,0.9136174683659952
2020-02-08,0.9135506974959575
2020-02-09,0.9133345937350726
2020-02-10,0.9164978783074117
2020-02-11,0.9158347834050736
2020-02-12,0.9194954176945859
2020-02-13,0.9222004070592597
2020-02-14,0.9232885692258687
2020-02-15,0.9232885692258687
2020-02-16,0.9223900972199162
2020-02-17,0.9226973395867607
2020-02-18,0.9263650915989803
2020-02-19,0.9250693802035153
2020-02-20,0.9269773585780167
2020-02-21,0.9219096436358273
2020-02-22,0.9219096436358273
2020-02-23,0.9226300862290079
2020-02-24,0.9217481876126261
2020-02-25,0.9190754101374018
2020-02-26,0.9186751968720946
2020-02-27,0.9093496604033693
2020-02-28,0.9068328951819062
2020-02-29,0.906799180253541
2020-03-01,0.9049053107082874
2020-03-02,0.8973704354131089
2020-03-03,0.8945976144660013
2020-03-04,0.8977853431156024
2020-03-05,0.8909900414043073
2020-03-06,0.8860378160939909
2020-03-07,0.8860142648296638
2020-03-08,0.8783101313073647
2020-03-09,0.8773846217287812
2020-03-10,0.8836693486031396
2020-03-11,0.8880198134980788
2020-03-12,0.8941600618043435
2020-03-13,0.8975452138401472
2020-03-14,0.8973036026739648
2020-03-15,0.8965851760400164
2020-03-16,0.8960236263509797
2020-03-17,0.9078900182031948
2020-03-18,0.9123405000720749
2020-03-19,0.9384349157848506
2020-03-20,0.9291521486643438
2020-03-21,0.9290658243136527
2020-03-22,0.9351597626938586
2020-03-23,0.9290149004699887
2020-03-24,0.9257399207751776
2020-03-25,0.9183503855694095
2020-03-26,0.9051600458735112
2020-03-27,0.8955044779701421
2020-03-28,0.8953753861306354
2020-03-29,0.8978103303852235
2020-03-30,0.9066503711373294
2020-03-31,0.9069348775411182
2020-04-01,0.9129893737166794
2020-04-02,0.9219453415484811
2020-04-03,0.9255548469919005
2020-04-04,0.9254974548819991
2020-04-05,0.9253749850783284
2020-04-06,0.9257990571662401
2020-04-07,0.9178901377294151
2020-04-08,0.9207051865164566
2020-04-09,0.9152647861026194
2020-04-10,0.91436931376583
2020-04-11,0.9144529285355036
2020-04-12,0.9147398434148336
2020-04-13,0.9157014410393578
2020-04-14,0.910349674413439
2020-04-15,0.9170273640965447
2020-04-16,0.9209901011983923
2020-04-17,0.9195402298850576
2020-04-18,0.9195402298850576
2020-04-19,0.9202603600610685
2020-04-20,0.9204246839491742
2020-04-21,0.9211699595422153
2020-04-22,0.9253022036997284
2020-04-23,0.9280957794844428
2020-04-24,0.9237875288683602
2020-04-25,0.9240393455953354
2020-04-26,0.9241025347208425
2020-04-27,0.9240342225314656
2020-04-28,0.9229792292754244
2020-04-29,0.9193846742252344
2020-04-30,0.9136600398903972
2020-05-01,0.901428764591878
2020-05-02,0.9013475145342287
2020-05-03,0.9124753631651945
2020-05-04,0.9171198767390886
2020-05-05,0.9226598808107966
2020-05-06,0.9260854184146529
2020-05-07,0.9227807814292214
2020-05-08,0.9115354815186181
2020-05-09,0.9115354815186181
2020-05-10,0.9225849723824188
2020-05-11,0.9251549634563789
2020-05-12,0.9219699917207094
2020-05-13,0.9241025347208425
2020-05-14,0.9253595715955326
2020-05-15,0.9240777703851556
2020-05-16,0.9240777703851556
2020-05-17,0.924297279885535
2020-05-18,0.9161964288495597
2020-05-19,0.9153024845885944
2020-05-20,0.9107003650087063
2020-05-21,0.9132011444236743
2020-05-22,0.9173891105912573
2020-05-23,0.9170105456212746
2020-05-24,0.9167835565701293
2020-05-25,0.9173049580332983
2020-05-26,0.9108023895811492
2020-05-27,0.9077301390914891
2020-05-28,0.9026297214304153
2020-05-29,0.9004952723998199
2020-05-30,0.9004952723998199
2020-05-31,0.8995022154739567
2020-06-01,0.898829544167585
2020-06-02,0.8938499547711922
2020-06-03,0.890098631829393
2020-06-04,0.8821010235018176
2020-06-05,0.8856650680412189
2020-06-06,0.8856219279989371
2020-06-07,0.8834546611067919
2020-06-08,0.8845447911368612
2020-06-09,0.8824653257311887
2020-06-10,0.8798851221984458
2020-06-11,0.8859153631898623
2020-06-12,0.88832430943889
2020-06-13,0.8884624269239654
2020-06-14,0.8887648568155377
2020-06-15,0.8820348897720998
2020-06-16,0.887680065901368
2020-06-17,0.8894802944535567
2020-06-18,0.8921004505107276
2020-06-19,0.8944943870477213
2020-06-20,0.8946664459822767
2020-06-21,0.89468005346608
2020-06-22,0.8865798409475765
2020-06-23,0.8840146286740753
