Base,Date,Timestamp,AFN,EUR,ALL,DZD,USD,EUR,AOA,XCD,XCD,ARS,AMD,AWG,AUD,EUR,AZN,BSD,BHD,BDT,BBD,BYN,EUR,BZD,XOF,BMD,BTN,INR,BOB,BOV,USD,BAM,BWP,NOK,BRL,USD,BND,BGN,XOF,BIF,CVE,KHR,XAF,CAD,KYD,XAF,XAF,CLF,CLP,CNY,AUD,AUD,COP,COU,KMF,CDF,XAF,NZD,CRC,XOF,HRK,CUC,CUP,ANG,EUR,CZK,DKK,DJF,XCD,DOP,USD,EGP,SVC,USD,XAF,ERN,EUR,ETB,EUR,FKP,DKK,FJD,EUR,EUR,EUR,XPF,EUR,XAF,GMD,GEL,EUR,GHS,GIP,EUR,DKK,XCD,EUR,USD,GTQ,GBP,GNF,XOF,GYD,HTG,USD,AUD,EUR,HNL,HKD,HUF,ISK,INR,IDR,XDR,IRR,IQD,EUR,GBP,ILS,EUR,JMD,JPY,GBP,JOD,KZT,KES,AUD,KPW,KRW,KWD,KGS,LAK,EUR,LBP,LSL,ZAR,LRD,LYD,CHF,EUR,EUR,MOP,MKD,MGA,MWK,MYR,MVR,XOF,EUR,USD,EUR,MRU,MUR,EUR,XUA,MXN,MXV,USD,MDL,EUR,MNT,EUR,XCD,MAD,MZN,MMK,NAD,ZAR,AUD,NPR,EUR,XPF,NZD,NIO,XOF,NGN,NZD,AUD,USD,NOK,OMR,PKR,USD,PAB,USD,PGK,PYG,PEN,PHP,NZD,PLN,EUR,USD,QAR,EUR,RON,RUB,RWF,EUR,SHP,XCD,XCD,EUR,EUR,XCD,WST,EUR,STN,SAR,XOF,RSD,SCR,SLL,SGD,ANG,XSU,EUR,EUR,SBD,SOS,ZAR,SSP,EUR,LKR,SDG,SRD,NOK,SZL,SEK,CHE,CHF,CHW,SYP,TWD,TJS,TZS,THB,USD,XOF,NZD,TOP,TTD,TND,TRY,TMT,USD,AUD,UGX,UAH,AED,GBP,USD,USD,USN,UYI,UYU,UZS,VUV,VEF,VED,VND,USD,USD,XPF,MAD,YER,ZMW,ZWL
EUR,2022-01-22,2022-01-22 09:14:03,119.23785,1,121.672901,158.832898,1.134475,1,601.157211,3.065976,3.065976,118.325675,546.953541,2.036383,1.579236,1,1.933111,1.13478,0.427419,97.522573,2.291195,2.919781,1,2.287389,656.29787,1.134475,84.420901,84.42814,7.824176,,1.134475,1.958904,13.036371,10.070082,6.192763,1.134475,1.526909,1.956072,656.29787,2281.429212,110.555035,4617.313621,656.993615,1.427175,0.945721,656.993615,656.993615,0.032849,906.40059,7.191215,1.579236,1.579236,4488.504932,,492.419307,2287.101997,656.993615,1.68713,720.270105,656.29787,7.532351,1.134475,30.063587,2.045109,1,24.408575,7.444316,201.619342,3.065976,65.577064,1.134475,17.820623,9.92958,1.134475,656.993615,17.017147,1,56.274357,1,0.825807,7.444316,2.411939,1,1,1,119.630801,1,656.993615,59.730551,3.483282,1,7.090912,0.825807,1,7.444316,3.065976,1,1.134475,8.743318,0.836942,10249.981968,656.29787,237.302328,116.054089,1.134475,1.579236,1,27.823044,8.833481,358.658642,145.621648,84.42814,16256.743036,0.809177,47959.930743,1655.766253,1,0.836942,3.563477,1,176.610107,128.954075,0.836942,0.804388,494.870815,128.820072,1.579236,1021.027672,1352.979178,0.342975,96.199286,12866.652427,1,1709.572623,17.102255,17.132052,171.763796,5.201612,1.034313,1,1,9.102963,61.711826,4543.572742,925.731986,4.749484,17.550757,656.29787,1,1.134475,1,,49.550609,1,,23.227132,,1.134475,20.482537,1,3243.272466,1,3.065976,10.525096,72.413967,2017.630951,17.102254,17.132052,1.579236,135.073121,1,119.630801,1.68713,40.200165,656.29787,470.750826,1.68713,1.579236,1.134475,10.070082,0.436567,200.093071,1.134475,1.13478,1.134475,3.976379,7913.329919,4.348486,58.153613,1.68713,4.531184,1,1.134475,4.130667,1,4.946735,88.02426,1151.492118,1,1.56263,3.065976,3.065976,1,1,3.065976,2.963638,1,,4.255407,656.29787,117.582716,15.083141,12853.602059,1.525591,2.045109,,1,1,9.152755,663.668255,17.132052,,1,229.79207,496.336982,23.940263,10.070082,17.102254,10.424809,,1.034313,,2849.800929,31.431995,12.817323,2620.637615,37.337884,1.134475,656.29787,1.68713,2.572933,7.700482,3.261053,15.257218,3.970662,1.134475,1.579236,3994.367169,32.129311,4.166974,0.836942,1.134475,1.134475,,,50.674518,12309.054057,128.957377,242585040061.79807,,25673.169099,1.134475,1.134475,119.630801,10.525096,283.90278,19.830013,365.300485
EUR,2022-01-22,2022-01-22 10:09:15,119.23785,1,121.672901,158.832898,1.134475,1,601.157211,3.065976,3.065976,118.325675,546.953541,2.036383,1.579236,1,1.933111,1.13478,0.427419,97.522573,2.291195,2.919781,1,2.287389,656.29787,1.134475,84.420901,84.42814,7.824176,,1.134475,1.958904,13.036371,10.102277,6.192763,1.134475,1.526909,1.956072,656.29787,2281.429212,110.555035,4617.313621,656.993615,1.427175,0.945721,656.993615,656.993615,0.032849,906.40059,7.191215,1.579236,1.579236,4488.504932,,492.419307,2287.101997,656.993615,1.689439,720.270105,656.29787,7.532351,1.134475,30.063587,2.045109,1,24.408575,7.444316,201.619342,3.065976,65.577064,1.134475,17.820623,9.92958,1.134475,656.993615,17.017147,1,56.274357,1,0.825807,7.444316,2.411939,1,1,1,119.630801,1,656.993615,59.730551,3.483282,1,7.090912,0.825807,1,7.444316,3.065976,1,1.134475,8.743318,0.836961,10249.981968,656.29787,237.302328,116.054089,1.134475,1.579236,1,27.823044,8.833391,358.658642,145.621648,84.42814,16256.743036,0.809177,47959.930743,1655.766253,1,0.836961,3.573086,1,176.610107,128.960882,0.836961,0.804388,494.870815,128.820072,1.579236,1021.027672,1352.979178,0.342975,96.199286,12866.652427,1,1709.572623,17.102255,17.141241,171.763796,5.201612,1.034313,1,1,9.102963,61.711826,4543.572742,925.731986,4.749484,17.550757,656.29787,1,1.134475,1,,49.550609,1,,23.227359,,1.134475,20.482537,1,3243.272466,1,3.065976,10.525096,72.413967,2017.630951,17.102254,17.141241,1.579236,135.073121,1,119.630801,1.689439,40.200165,656.29787,470.750826,1.689439,1.579236,1.134475,10.102277,0.436567,200.093071,1.134475,1.13478,1.134475,3.976379,7913.329919,4.348486,58.153613,1.689439,4.531184,1,1.134475,4.130667,1,4.946735,88.02426,1151.492118,1,1.56263,3.065976,3.065976,1,1,3.065976,2.963638,1,,4.255407,656.29787,117.582716,15.083141,12853.602059,1.525591,2.045109,,1,1,9.152755,663.668255,17.141241,,1,229.79207,496.336982,23.940263,10.102277,17.102254,10.432183,,1.034313,,2849.800929,31.431995,12.817323,2620.637615,37.337884,1.134475,656.29787,1.689439,2.572933,7.700482,3.261053,15.257639,3.970662,1.134475,1.579236,3994.367169,32.129311,4.166974,0.836961,1.134475,1.134475,,,50.674518,12309.054057,128.957377,242585040061.79807,,25673.169099,1.134475,1.134475,119.630801,10.525096,283.90278,19.830013,365.300485
